"Advisory Date","Hours UTC","Record Identifier","Status of system","Latitude","Longitude","Maximum sustained wind"
"20221010","1100","L","TS","13.6N","89.7W",35
"20221102","2130","L","HU","17.4N","88.3W",80
"20221109","1700","L","TS","26.5N","77.1W",60
"20221109","2300","L","HU","26.6N","78.2W",65
"20221110","745","L","HU","27.6N","80.3W",65
"20221110","1900","L","TS","29.2N","83.0W",40
"20221111","0","L","TS","30.1N","84.0W",35
"20230117","1245","L","SS","45.9N","60.0W",45
"20230623","315","L","TS","13.3N","61.2W",55
"20230823","1000","L","TS","17.9N","71.2W",40
"20230822","1500","L","TS","27.1N","97.4W",50
"20230827","600","L","TD","20.5N","86.8W",30
"20230830","1145","L","MH","29.9N","83.6W",100
"20230916","2000","L","EX","44.3N","66.3W",55
"20230923","1015","L","TS","34.7N","77.1W",60
"20231002","2245","L","TS","17.6N","61.8W",45
"20231022","115","L","HU","17.6N","61.8W",80
"20231024","130","L","TD","12.4N","83.5W",25
"20240620","900","L","TS","22.4N","97.8W",45
"20240701","1520","L","MH","12.5N","61.5W",120
"20240705","1100","L","HU","20.3N","87.4W",80
"20240708","840","L","HU","28.6N","96.0W",80
"20240701","300","L","TS","19.9N","96.5W",40
"20240805","1100","L","HU","29.7N","83.5W",70
"20240808","600","L","SS","33.0N","79.6W",40
"20240813","940","L","TS","16.4N","61.4W",35
"20240813","1250","L","TS","16.7N","62.2W",40
"20240813","2330","L","TS","18.3N","64.7W",55
"20240817","830","L","HU","32.3N","64.8W",75
"20240911","2200","L","HU","29.3N","91.3W",90
"20240927","310","L","MH","30.0N","83.7W",120
"20241010","30","L","MH","27.4N","82.6W",100
"20241019","1600","L","TS","17.5N","88.2W",50
"20241019","2015","L","HU","21.5N","71.1W",75
"20241020","2200","L","HU","20.3N","74.4W",75
"20241106","2115","L","MH","22.7N","82.7W",100
"20241115","120","L","TS","15.8N","84.3W",40
"20241117","1400","L","TS","17.0N","88.3W",35
"20250630","200","L","TD","21.9N","97.7W",30
"20250706","800","L","TS","33.6N","79.0W",45
"20250811","600","L","TS","17.2N","25.2W",35
"20250929","1200","L","TS","26.4N","77.1W",45
"20251028","1725","L","MH","18.1N","78.0W",160
"20251029","720","L","MH","20.0N","76.2W",100
"20251029","2215","L","HU","23.1N","75.0W",80
"20251030","200","L","HU","24.0N","74.5W",80
