"Advisory Date","Hours UTC","Record Identifier","Status of system","Latitude","Longitude","Maximum sustained wind"
"19130903","800","L","HU","34.7N","76.6W",75
"19131008","1400","L","HU","33.1N","79.4W",65
"19140917","700","L","TS","30.6N","81.4W",60
"19150801","1800","L","HU","28.7N","80.8W",65
"19150817","700","L","MH","29.2N","95.1W",115
"19150904","1100","L","HU","30.0N","85.4W",80
"19150929","1800","L","MH","29.0N","90.3W",110
"19160514","600","L","TS","25.1N","81.0W",35
"19160705","2100","L","MH","30.4N","88.4W",105
"19160721","1300","L","TS","41.4N","71.2W",60
"19160714","800","L","HU","32.9N","79.5W",95
"19160818","2200","L","MH","27.0N","97.4W",115
"19160825","800","L","TS","25.6N","80.3W",40
"19160906","600","L","TS","33.9N","78.3W",45
"19161004","2100","L","TS","31.5N","81.4W",50
"19161018","1400","L","HU","30.4N","87.4W",95
"19170929","200","L","MH","30.4N","86.6W",100
"19180806","1800","L","MH","29.8N","93.2W",105
"19180824","2100","L","HU","34.8N","76.8W",65
"19190704","1100","L","TS","30.4N","87.0W",55
"19190910","700","L","MH","24.6N","82.9W",130
"19190914","2100","L","MH","27.2N","97.3W",100
"19191001","100","L","TS","31.2N","81.3W",40
"19200922","100","L","HU","29.1N","90.8W",85
"19200923","600","L","TS","33.7N","78.2W",55
"19200930","900","L","TS","28.9N","82.9W",55
"19210622","1800","L","HU","28.5N","95.9W",80
"19211025","2000","L","MH","28.1N","82.8W",100
"19230626","500","L","TS","29.1N","90.1W",40
"19231016","600","L","HU","29.2N","91.0W",70
"19231019","900","L","TS","41.3N","70.6W",50
"19231018","100","L","TS","30.3N","89.0W",50
"19240915","1400","L","HU","29.7N","85.3W",75
"19240929","2100","L","TS","30.0N","84.0W",55
"19241021","100","L","HU","25.8N","81.8W",80
"19251201","300","L","TS","26.3N","81.9W",55
"19260728","1000","L","HU","29.0N","80.8W",90
"19260825","2300","L","MH","29.2N","90.9W",100
"19260918","1200","L","MH","25.6N","80.3W",125
"19260920","2200","L","MH","30.3N","87.5W",100
"19271003","900","L","TS","32.5N","80.4W",50
"19280808","700","L","HU","27.3N","80.2W",85
"19280810","400","L","TS","30.0N","84.3W",35
"19280813","300","L","TS","24.7N","81.4W",60
"19280814","1400","L","TS","29.9N","84.7W",45
"19280917","0","L","MH","26.7N","80.0W",125
"19280918","1900","L","HU","32.5N","80.3W",75
"19290628","2100","L","HU","28.3N","96.4W",80
"19290928","1300","L","MH","25.0N","80.5W",100
"19291001","400","L","HU","30.2N","85.7W",70
"19300909","900","L","TS","27.5N","82.7W",40
"19310627","2200","L","TS","26.6N","97.3W",40
"19310715","1000","L","TS","29.2N","91.0W",50
"19320814","400","L","MH","29.0N","95.2W",130
"19320830","400","L","TS","25.3N","80.3W",55
"19320901","500","L","HU","30.2N","88.1W",75
"19320915","400","L","TS","30.0N","83.9W",50
"19320919","1900","L","TS","29.6N","91.9W",55
"19330723","800","L","TS","28.6N","96.0W",40
"19330730","1600","L","HU","27.1N","80.1W",65
"19330823","1000","L","HU","35.8N","75.6W",80
"19330823","1200","L","HU","36.1N","75.8W",75
"19330905","400","L","MH","26.1N","97.2W",110
"19330904","500","L","MH","26.9N","80.1W",110
"19330905","400","L","TS","29.2N","82.9W",55
"19340616","1900","L","HU","29.7N","91.7W",85
"19340725","1700","L","HU","28.1N","96.8W",75
"19340903","1000","L","TS","35.0N","76.2W",40
"19340909","200","L","HU","40.7N","73.0W",65
"19340909","400","L","TS","41.2N","73.0W",50
"19341006","100","L","TS","30.3N","87.4W",45
"19350903","200","L","MH","24.8N","80.8W",160
"19350904","2200","L","HU","29.6N","83.4W",85
"19351104","1800","L","HU","25.9N","80.1W",85
"19360615","800","L","TS","25.9N","81.7W",40
"19360627","1600","L","HU","27.9N","97.0W",70
"19360727","1600","L","TS","29.1N","90.2W",40
"19360729","200","L","TS","25.3N","80.3W",55
"19360731","1400","L","HU","30.4N","86.6W",90
"19360821","2200","L","TS","28.9N","80.8W",50
"19370729","2200","L","TS","28.1N","82.8W",55
"19370830","1400","L","TS","29.1N","80.9W",60
"19370919","1800","L","TS","29.1N","89.3W",40
"19370920","1600","L","TS","29.7N","85.4W",35
"19371003","1200","L","TS","29.5N","92.0W",35
"19371003","1400","L","TS","29.8N","92.0W",35
"19380815","100","L","HU","29.8N","93.4W",65
"19380921","2000","L","MH","40.7N","72.9W",105
"19380921","2100","L","MH","41.3N","72.9W",100
"19381017","1300","L","TS","29.3N","94.8W",40
"19390616","1300","L","TS","30.3N","87.6W",50
"19390811","2300","L","HU","27.2N","80.2W",65
"19390813","600","L","HU","30.4N","86.4W",65
"19390926","800","L","TS","29.1N","90.2W",45
"19400807","2100","L","HU","29.7N","94.1W",85
"19400811","2000","L","HU","32.1N","80.8W",85
"19400924","900","L","TS","29.8N","93.4W",40
"19410923","2200","L","MH","28.8N","95.6W",110
"19411006","1000","L","HU","25.5N","80.2W",85
"19411006","1100","L","HU","25.5N","80.3W",85
"19411007","900","L","HU","29.9N","84.6W",80
"19411020","1400","L","TS","29.0N","83.0W",40
"19420821","1300","L","HU","29.5N","94.6W",65
"19420830","900","L","MH","28.3N","96.6W",100
"19430727","1800","L","HU","29.5N","94.6W",90
"19431001","0","L","TS","37.7N","75.7W",55
"19440801","2300","L","HU","33.9N","78.1W",70
"19440910","1900","L","TS","29.3N","89.4W",55
"19440910","2300","L","TS","30.3N","88.3W",50
"19440915","200","L","HU","40.9N","72.2W",90
"19440915","400","L","HU","41.4N","71.6W",85
"19441018","2100","L","MH","24.6N","82.9W",105
"19441019","700","L","HU","27.2N","82.5W",90
"19450624","800","L","HU","28.6N","82.7W",70
"19450626","100","L","HU","34.7N","76.6W",65
"19450827","1200","L","MH","28.2N","96.7W",100
"19450905","0","L","TS","26.5N","82.1W",35
"19450915","1930","L","MH","25.3N","80.3W",115
"19450915","2000","L","MH","25.4N","80.4W",115
"19450917","1100","L","TS","32.1N","80.9W",60
"19460706","800","L","TS","33.9N","78.2W",45
"19460825","1900","L","TS","22.1N","97.8W",35
"19460912","1700","L","TS","25.0N","78.2W",55
"19460912","2300","L","HU","25.9N","77.3W",65
"19461007","400","L","HU","22.2N","83.9W",80
"19461008","200","L","HU","27.5N","82.6W",75
"19461101","300","L","TS","23.4N","75.8W",35
"19461101","1200","L","TS","24.6N","77.8W",40
"19461101","2200","L","TS","26.6N","80.1W",40
"19470802","0","L","TS","25.6N","97.3W",45
"19470812","1600","L","TS","19.9N","87.5W",45
"19470815","1000","L","HU","21.7N","97.5W",95
"19470822","1400","L","TS","29.1N","90.3W",40
"19470824","2200","L","HU","29.2N","94.9W",70
"19470916","1900","L","MH","26.7N","77.1W",105
"19470917","1630","L","MH","26.1N","80.1W",115
"19470919","1400","L","HU","29.6N","89.5W",95
"19470908","1400","L","TS","30.3N","88.2W",45
"19470921","2200","L","TS","21.6N","82.6W",45
"19470922","300","L","TS","22.5N","83.1W",45
"19470923","2200","L","TS","28.9N","82.7W",55
"19471007","400","L","TS","30.8N","81.5W",50
"19471011","700","L","TS","22.2N","83.6W",55
"19471012","200","L","HU","25.4N","81.2W",80
"19471015","1100","L","HU","31.8N","80.9W",90
"19480709","700","L","TS","30.3N","87.3W",35
"19480831","2200","L","TS","13.8N","60.9W",40
"19480904","700","L","HU","29.1N","90.5W",70
"19480920","2200","L","MH","22.3N","82.1W",110
"19480921","100","L","MH","22.7N","82.0W",110
"19480921","1700","L","MH","24.6N","81.6W",105
"19480922","500","L","MH","25.8N","81.3W",115
"19481005","700","L","MH","22.4N","83.2W",110
"19481005","1800","L","HU","24.7N","81.2W",90
"19481005","2000","L","HU","25.1N","80.9W",90
"19481007","2200","L","HU","32.3N","64.9W",90
"19490826","2300","L","MH","26.6N","80.0W",115
"19490901","600","L","TS","13.9N","61.0W",40
"19490904","1200","L","TS","29.3N","90.6W",50
"19490913","800","L","TS","34.3N","77.8W",35
"19490926","800","L","TS","19.5N","96.3W",55
"19490922","1500","L","TS","18.4N","70.0W",55
"19491004","500","L","HU","28.8N","95.6W",95
"19491104","1400","L","TS","15.6N","84.1W",40
"19500821","1600","L","HU","44.6N","63.7W",65
"19500822","1200","L","TS","16.8N","62.2W",60
"19500831","300","L","HU","30.2N","88.0W",75
"19500831","400","L","HU","30.7N","87.9W",75
"19500903","100","L","HU","21.5N","82.6W",70
"19500903","700","L","HU","22.7N","82.3W",80
"19500905","1700","L","MH","29.1N","82.8W",105
"19500906","400","L","HU","28.5N","82.7W",90
"19501011","400","L","HU","18.9N","95.9W",90
"19501016","2200","L","HU","20.9N","78.3W",80
"19501018","500","L","MH","25.7N","80.2W",115
"19501021","1100","L","TS","29.7N","83.4W",50
"19510518","1200","L","HU","27.0N","77.9W",75
"19510818","300","L","MH","17.9N","76.9W",110
"19510820","200","L","MH","20.3N","87.0W",115
"19510820","300","L","MH","20.4N","87.3W",115
"19510822","1900","L","MH","22.3N","97.8W",100
"19510921","1400","L","TS","21.6N","97.4W",50
"19511002","1000","L","TS","26.7N","82.3W",55
"19520831","300","L","HU","32.3N","80.6W",85
"19520828","300","L","TS","33.7N","78.7W",45
"19521024","1800","L","MH","22.0N","80.9W",125
"19521025","1900","L","TS","24.4N","78.3W",60
"19521026","1000","L","HU","24.7N","76.2W",75
"19521026","1500","L","HU","24.5N","75.6W",75
"19530526","1800","L","TS","15.4N","83.9W",35
"19530531","1300","L","TS","21.9N","84.3W",45
"19530606","1700","L","TS","30.3N","85.9W",40
"19530814","300","L","HU","35.0N","76.1W",80
"19530814","500","L","HU","35.4N","76.1W",75
"19530814","900","L","HU","36.1N","75.9W",70
"19530907","2000","L","HU","44.2N","66.4W",75
"19530907","2200","L","HU","45.3N","65.8W",70
"19530912","500","L","TS","32.3N","64.8W",55
"19530920","1700","L","TS","29.0N","82.8W",35
"19530926","1500","L","HU","30.3N","86.2W",80
"19531009","1500","L","HU","26.7N","82.2W",75
"19531009","1600","L","HU","26.7N","82.1W",75
"19540625","1400","L","HU","25.0N","97.6W",95
"19540729","1000","L","TS","29.7N","92.8W",50
"19540831","1400","L","MH","40.9N","72.2W",100
"19540831","1500","L","MH","41.3N","72.0W",100
"19540911","1830","L","HU","41.4N","70.5W",95
"19540911","1900","L","HU","41.7N","70.3W",95
"19540911","1930","L","HU","41.9N","70.1W",90
"19540912","1100","L","TS","20.4N","96.8W",55
"19540927","1700","L","TS","16.7N","88.4W",55
"19541006","0","L","HU","12.2N","61.6W",65
"19541012","900","L","MH","18.3N","74.2W",105
"19541013","0","L","HU","19.6N","73.4W",85
"19541013","1400","L","HU","21.0N","73.1W",85
"19541015","1530","L","MH","33.9N","78.6W",115
"19550102","2100","L","HU","18.0N","63.0W",65
"19550801","1700","L","TS","29.7N","89.4W",55
"19550812","1500","L","HU","34.7N","76.7W",85
"19550817","1200","L","TS","34.0N","77.9W",60
"19550827","400","L","TS","30.0N","89.2W",45
"19550905","2200","L","HU","23.1N","97.8W",65
"19550919","1100","L","HU","34.7N","76.7W",90
"19550913","2100","L","HU","20.2N","74.2W",70
"19550915","300","L","HU","19.3N","81.2W",65
"19550916","1400","L","MH","19.7N","87.7W",105
"19550919","1100","L","MH","22.3N","97.9W",105
"19550923","0","L","HU","12.6N","61.4W",90
"19550927","1700","L","MH","17.4N","83.9W",140
"19550928","500","L","MH","18.4N","87.8W",150
"19550929","1800","L","HU","19.8N","96.4W",95
"19551017","500","L","HU","18.0N","71.7W",95
"19560613","1700","L","TS","29.1N","90.7W",50
"19560726","2100","L","HU","21.7N","97.5W",75
"19560912","1800","L","TS","20.9N","97.3W",50
"19560924","1000","L","HU","29.1N","89.4W",75
"19560925","0","L","HU","30.4N","86.4W",80
"19561015","2100","L","TS","25.2N","80.6W",50
"19570609","30","L","TS","30.1N","84.2W",45
"19570627","1330","L","MH","29.8N","93.7W",110
"19570810","600","L","TS","29.7N","93.9W",55
"19570908","1700","L","TS","30.3N","86.1W",35
"19570918","1200","L","TS","29.2N","90.9W",55
"19580615","800","L","TS","24.9N","97.6W",55
"19580901","1200","L","HU","18.2N","73.4W",95
"19580902","0","L","HU","20.0N","76.2W",70
"19580903","1100","L","TS","21.8N","82.7W",55
"19580903","1700","L","TS","22.1N","84.0W",60
"19580906","800","L","TS","27.5N","97.2W",50
"19580914","2100","L","TS","18.0N","71.2W",50
"19580920","800","L","TS","24.5N","97.7W",40
"19581006","300","L","TS","22.0N","80.3W",50
"19581006","1600","L","TS","24.2N","78.0W",55
"19581006","2100","L","TS","25.1N","77.1W",60
"19581006","2300","L","TS","25.5N","76.8W",60
"19590530","2200","L","TS","29.6N","91.6W",55
"19590618","800","L","TS","28.0N","82.8W",40
"19590709","400","L","HU","33.0N","79.6W",65
"19590711","1200","L","TS","41.7N","70.7W",50
"19590725","500","L","HU","29.1N","95.2W",75
"19590818","1000","L","TS","15.3N","61.3W",50
"19590929","1700","L","MH","32.5N","80.4W",115
"19591008","1000","L","TS","30.3N","87.6W",40
"19591018","1400","L","TS","26.7N","82.3W",55
"19600624","400","L","TS","26.9N","97.4W",50
"19600710","1200","L","TS","13.9N","60.9W",55
"19600715","600","L","HU","16.3N","86.6W",70
"19600715","1400","L","HU","16.5N","88.4W",70
"19600729","600","L","TS","29.7N","83.5W",35
"19600729","2100","L","TS","33.9N","78.2W",60
"19600904","2200","L","MH","17.7N","61.8W",110
"19600905","400","L","MH","18.1N","63.0W",110
"19600908","600","L","MH","22.2N","74.3W",105
"19600908","1600","L","MH","22.4N","75.8W",105
"19600910","700","L","MH","24.8N","80.9W",125
"19600910","1600","L","MH","25.9N","81.6W",105
"19600912","400","L","HU","34.6N","77.3W",90
"19600912","1900","L","HU","40.7N","72.9W",85
"19600912","2000","L","HU","41.3N","72.4W",80
"19600915","2100","L","HU","30.4N","89.0W",70
"19600919","900","L","TS","21.1N","73.1W",35
"19610723","1200","L","HU","15.8N","84.3W",70
"19610724","100","L","HU","16.1N","86.9W",75
"19610724","1000","L","HU","16.4N","88.5W",75
"19610911","2000","L","MH","28.3N","96.4W",125
"19610906","1300","L","TS","15.0N","23.4W",40
"19610926","500","L","TS","41.3N","70.3W",50
"19610926","600","L","TS","41.7N","70.2W",50
"19610926","1100","L","TS","43.8N","69.9W",35
"19610914","1200","L","TS","34.4N","77.6W",40
"19610914","2100","L","TS","37.1N","76.0W",45
"19610915","600","L","TS","40.7N","73.2W",55
"19610915","700","L","TS","41.3N","72.7W",55
"19611001","800","L","TS","16.1N","61.6W",50
"19611003","500","L","TS","18.3N","68.5W",45
"19611031","1200","L","MH","17.1N","88.3W",130
"19620630","2100","L","TS","35.2N","75.8W",55
"19630809","1530","L","HU","32.3N","64.8W",95
"19630917","1400","L","TS","29.6N","94.3W",55
"19630925","700","L","HU","14.0N","60.9W",85
"19630927","1000","L","TS","18.1N","68.7W",60
"19630928","1800","L","TS","21.8N","72.2W",35
"19630930","1800","L","HU","11.2N","60.7W",90
"19631004","100","L","MH","18.2N","73.0W",130
"19631004","1800","L","MH","20.0N","74.9W",105
"19631007","0","L","HU","20.7N","78.1W",85
"19631010","600","L","HU","26.9N","66.5W",95
"19631029","1730","L","HU","43.8N","65.8W",90
"19631028","200","L","TS","17.0N","61.8W",45
"19630603","800","L","TS","35.2N","75.8W",50
"19640807","2030","L","TS","28.8N","95.6W",60
"19640808","1300","L","TS","32.3N","64.8W",45
